# source: Portal de Datos Abiertos del Ayuntamiento de Valencia; datos derivados por V-PRO
# license: CC-BY-4.0
action_id,event_id,event_type,event_title,event_source,event_source_id,action_type,title,description,priority,profiles,template_id,url,poi_type,created_at
137,69,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:260073904,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
139,70,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:260073902,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
141,71,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:260075201,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
143,72,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:260081901,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
145,73,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:260081902,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
147,74,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:260087201,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
149,75,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:260087102,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
151,76,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:250627907,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
153,77,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:260001706,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
155,78,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:260001705,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
157,79,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:260089801,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
159,80,OCUPACION,Sin titulo,geoportal_valencia,occupacio_via_publica:260093301,ROUTE_CHANGE,Desvio ciclista recomendado,Comprueba el mapa y evita cruzar la zona de trabajos.,60,CYCLIST,bici-ocupacion,https://www.valencia.es/agenciabici/es/red-de-itinerarios-ciclistas,,2026-05-10T06:24:12.155699+00:00
